                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.70592,                0.44274,                0.85972,                0.89659,                0.86609,                0.93768,                0.75399,                0.68088,                 0.4607,                0.88478,              0.0047332,              0.0047332,              0.0047332
                    136,                 0.7092,                0.44428,                0.86154,                0.89507,                 0.8667,                0.93778,                0.75445,                0.67856,                0.46193,                0.87996,              0.0046936,              0.0046936,              0.0046936
                    137,                0.70116,                0.43913,                0.85901,                0.89388,                0.86724,                0.93783,                0.75431,                0.67627,                0.45941,                0.87853,               0.004654,               0.004654,               0.004654
                    138,                0.70503,                0.44045,                0.85912,                0.89554,                0.86754,                0.93813,                0.75469,                0.67469,                0.45779,                0.87724,              0.0046144,              0.0046144,              0.0046144
                    139,                 0.7032,                0.43729,                0.85851,                0.89469,                0.86773,                 0.9379,                0.75463,                0.67336,                 0.4595,                0.87589,              0.0045748,              0.0045748,              0.0045748
                    140,                0.70624,                0.43949,                0.85923,                0.89656,                0.86366,                0.93797,                0.75519,                0.67367,                0.46299,                0.87652,              0.0045352,              0.0045352,              0.0045352
                    141,                0.69563,                0.43394,                0.85757,                0.89261,                0.86791,                0.93811,                 0.7548,                0.67321,                0.45983,                0.87726,              0.0044956,              0.0044956,              0.0044956
                    142,                0.69864,                0.43524,                0.85814,                0.89586,                0.86594,                0.93822,                0.75579,                0.67375,                0.45879,                0.87941,               0.004456,               0.004456,               0.004456
                    143,                0.69925,                0.43674,                0.85808,                0.89549,                0.86812,                0.93816,                0.75643,                0.67286,                0.45955,                0.87784,              0.0044164,              0.0044164,              0.0044164
                    144,                0.70158,                0.43772,                0.86048,                0.89741,                0.86657,                0.93782,                0.75544,                 0.6735,                 0.4603,                0.87867,              0.0043768,              0.0043768,              0.0043768
                    145,                0.70015,                0.43816,                0.85952,                0.89491,                0.86946,                0.93721,                0.75479,                0.67392,                0.46182,                 0.8778,              0.0043372,              0.0043372,              0.0043372
                    146,                0.69484,                 0.4352,                0.85679,                0.89633,                0.86789,                0.93766,                0.75506,                0.67435,                0.45968,                0.87896,              0.0042976,              0.0042976,              0.0042976
                    147,                0.69482,                0.43303,                0.85638,                 0.8968,                0.86902,                0.93791,                0.75534,                0.67271,                0.45901,                0.87834,               0.004258,               0.004258,               0.004258
                    148,                0.69681,                0.43548,                 0.8579,                 0.8984,                0.86655,                0.93769,                0.75518,                0.67302,                0.45766,                0.87897,              0.0042184,              0.0042184,              0.0042184
                    149,                0.69618,                0.43185,                0.85719,                0.89587,                0.86909,                0.93779,                0.75482,                0.67489,                0.45678,                0.88064,              0.0041788,              0.0041788,              0.0041788
                    150,                0.69304,                 0.4321,                0.85688,                0.89512,                0.86788,                0.93781,                0.75446,                0.67629,                 0.4568,                0.88158,              0.0041392,              0.0041392,              0.0041392
                    151,                0.69504,                0.43287,                0.85527,                 0.8949,                0.86788,                0.93797,                0.75444,                0.67648,                0.45828,                0.88085,              0.0040996,              0.0040996,              0.0040996
                    152,                0.69711,                0.43257,                0.85607,                0.89555,                0.86905,                0.93776,                0.75579,                0.67574,                0.46037,                0.88096,                0.00406,                0.00406,                0.00406
                    153,                0.69084,                 0.4297,                0.85551,                0.89472,                0.86927,                0.93791,                0.75618,                0.67491,                 0.4582,                0.88006,              0.0040204,              0.0040204,              0.0040204
                    154,                0.69469,                0.43184,                0.85604,                0.89771,                0.86743,                0.93812,                0.75647,                0.67402,                0.45862,                0.87839,              0.0039808,              0.0039808,              0.0039808
